trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827
Training examples: 4492 (1 mode(s) x 4492 samples)
No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
 [561/561 24:37, Epoch 0/1]
Step	Training Loss
10	0.561300
20	0.474600
30	0.507500
40	0.436600
50	0.434900
60	0.372400
70	0.393500
80	0.401900
90	0.428500
100	0.402600
110	0.414600
120	0.463000
130	0.408000
140	0.356000
150	0.421500
160	0.380100
170	0.407800
180	0.390200
190	0.412500
200	0.383500
210	0.446900
220	0.390800
230	0.402000
240	0.445700
250	0.376700
260	0.410200
270	0.392500
280	0.344000
290	0.324700
300	0.337300
310	0.389400
320	0.379100
330	0.367000
340	0.371500
350	0.393200
360	0.385900
370	0.340100
380	0.401600
390	0.381800
400	0.363200
410	0.341600
420	0.322300
430	0.365500
440	0.360800
450	0.364200
460	0.350400
470	0.244900
480	0.365500
490	0.330900
500	0.346000
510	0.355000
520	0.349800
530	0.366200
540	0.380800
550	0.373600
560	0.342000
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_3b/adapter
