No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827
Training examples: 4492 (1 mode(s) x 4492 samples)
 [1683/1683 1:15:45, Epoch 2/3]
Step	Training Loss
10	0.636900
20	0.495700
30	0.519700
40	0.437300
50	0.450800
60	0.374300
70	0.402900
80	0.398400
90	0.437400
100	0.403800
110	0.411800
120	0.467300
130	0.408700
140	0.356700
150	0.427100
160	0.374100
170	0.405700
180	0.397900
190	0.420400
200	0.389100
210	0.459100
220	0.400500
230	0.409200
240	0.439900
250	0.387700
260	0.413600
270	0.388900
280	0.345700
290	0.327400
300	0.347400
310	0.398400
320	0.387700
330	0.368800
340	0.369100
350	0.385100
360	0.385300
370	0.343400
380	0.402700
390	0.384900
400	0.360400
410	0.343700
420	0.321500
430	0.365200
440	0.353200
450	0.366700
460	0.356300
470	0.242600
480	0.366400
490	0.324200
500	0.346700
510	0.347400
520	0.342700
530	0.363600
540	0.374600
550	0.355100
560	0.338900
570	0.232600
580	0.215300
590	0.255400
600	0.240900
610	0.259700
620	0.201100
630	0.239900
640	0.201000
650	0.213600
660	0.212600
670	0.225900
680	0.185500
690	0.222600
700	0.201300
710	0.211500
720	0.236000
730	0.230700
740	0.218400
750	0.233800
760	0.213500
770	0.196500
780	0.293600
790	0.224400
800	0.204200
810	0.237800
820	0.252000
830	0.206200
840	0.272200
850	0.202400
860	0.231400
870	0.234600
880	0.246000
890	0.250300
900	0.194600
910	0.184400
920	0.246600
930	0.214000
940	0.233900
950	0.224600
960	0.225700
970	0.230700
980	0.215300
990	0.250200
1000	0.206000
1010	0.221300
1020	0.191500
1030	0.196300
1040	0.200400
1050	0.200400
1060	0.207400
1070	0.227100
1080	0.210500
1090	0.196100
1100	0.207100
1110	0.200000
1120	0.227900
1130	0.168800
1140	0.120700
1150	0.110400
1160	0.092300
1170	0.102600
1180	0.095800
1190	0.115800
1200	0.111000
1210	0.108000
1220	0.135300
1230	0.106800
1240	0.103600
1250	0.100900
1260	0.085600
1270	0.114200
1280	0.094100
1290	0.102700
1300	0.113500
1310	0.105800
1320	0.119300
1330	0.108300
1340	0.122100
1350	0.111400
1360	0.130000
1370	0.109800
1380	0.111900
1390	0.106200
1400	0.117500
1410	0.097800
1420	0.119800
1430	0.093100
1440	0.076400
1450	0.108600
1460	0.088300
1470	0.103800
1480	0.096500
1490	0.108600
1500	0.121500
1510	0.111700
1520	0.086800
1530	0.099900
1540	0.095100
1550	0.111600
1560	0.089500
1570	0.111200
1580	0.107900
1590	0.101600
1600	0.119700
1610	0.095800
1620	0.100700
1630	0.090400
1640	0.112600
1650	0.087600
1660	0.102700
1670	0.114200
1680	0.100700
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_no_few_shots_3_epochs_3b/adapter
