trainable params: 20,185,088 || all params: 7,635,801,600 || trainable%: 0.2643
Training examples: 4492 (1 mode(s) x 4492 samples)
No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
 [1122/1122 39:35, Epoch 1/2]
Step	Training Loss
10	0.540700
20	0.414400
30	0.433900
40	0.377800
50	0.378000
60	0.324700
70	0.333600
80	0.336900
90	0.365300
100	0.330300
110	0.331100
120	0.413000
130	0.357800
140	0.309100
150	0.357800
160	0.313900
170	0.348900
180	0.357600
190	0.356900
200	0.325300
210	0.386700
220	0.333600
230	0.349600
240	0.375300
250	0.330800
260	0.367600
270	0.325900
280	0.303800
290	0.271600
300	0.306200
310	0.333000
320	0.326000
330	0.331800
340	0.329100
350	0.321200
360	0.344900
370	0.309600
380	0.354700
390	0.336700
400	0.311100
410	0.307600
420	0.276900
430	0.291600
440	0.318400
450	0.325000
460	0.306700
470	0.208600
480	0.323300
490	0.277700
500	0.297400
510	0.296200
520	0.294100
530	0.320600
540	0.328800
550	0.320900
560	0.287800
570	0.182100
580	0.171400
590	0.203600
600	0.182000
610	0.208000
620	0.161100
630	0.177400
640	0.146600
650	0.159200
660	0.150400
670	0.165100
680	0.158100
690	0.184500
700	0.155800
710	0.162600
720	0.191900
730	0.196800
740	0.179100
750	0.185200
760	0.166400
770	0.145900
780	0.209000
790	0.171200
800	0.164300
810	0.182400
820	0.180900
830	0.151800
840	0.194300
850	0.147700
860	0.180200
870	0.172400
880	0.192300
890	0.185600
900	0.147900
910	0.141100
920	0.188600
930	0.170600
940	0.169400
950	0.174100
960	0.184900
970	0.170500
980	0.156000
990	0.186100
1000	0.153700
1010	0.181400
1020	0.134200
1030	0.154300
1040	0.151800
1050	0.147100
1060	0.171100
1070	0.176100
1080	0.159900
1090	0.149000
1100	0.139600
1110	0.151400
1120	0.167300
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_no_few_shots_2_epochs_7b/adapter
