No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
trainable params: 20,185,088 || all params: 7,635,801,600 || trainable%: 0.2643
Training examples: 4492 (1 mode(s) x 4492 samples)
 [1683/1683 57:57, Epoch 2/3]
Step	Training Loss
10	0.542600
20	0.414200
30	0.433400
40	0.377400
50	0.377100
60	0.325400
70	0.331000
80	0.336200
90	0.366000
100	0.331400
110	0.331700
120	0.410400
130	0.358300
140	0.309600
150	0.354700
160	0.315300
170	0.349600
180	0.357900
190	0.357400
200	0.323600
210	0.391100
220	0.335000
230	0.348400
240	0.371700
250	0.334500
260	0.368800
270	0.326800
280	0.300600
290	0.271100
300	0.308800
310	0.335100
320	0.325400
330	0.330600
340	0.332400
350	0.317800
360	0.345800
370	0.309400
380	0.354800
390	0.333100
400	0.309300
410	0.307400
420	0.279900
430	0.293600
440	0.316800
450	0.324500
460	0.305300
470	0.211600
480	0.327100
490	0.277800
500	0.297300
510	0.293700
520	0.292700
530	0.322100
540	0.331500
550	0.314500
560	0.290000
570	0.183200
580	0.166500
590	0.197800
600	0.175800
610	0.207300
620	0.157000
630	0.176000
640	0.142300
650	0.163800
660	0.151100
670	0.162700
680	0.154500
690	0.182200
700	0.154500
710	0.162600
720	0.200000
730	0.198500
740	0.182600
750	0.187700
760	0.172000
770	0.143700
780	0.209600
790	0.172100
800	0.171500
810	0.185100
820	0.185800
830	0.155100
840	0.197200
850	0.157400
860	0.179800
870	0.184800
880	0.196000
890	0.188200
900	0.152000
910	0.148700
920	0.188500
930	0.172600
940	0.174000
950	0.181000
960	0.188400
970	0.173500
980	0.163800
990	0.192800
1000	0.156900
1010	0.184400
1020	0.141200
1030	0.160600
1040	0.158600
1050	0.153100
1060	0.173500
1070	0.181700
1080	0.167900
1090	0.155600
1100	0.149800
1110	0.154300
1120	0.172700
1130	0.117300
1140	0.075200
1150	0.073200
1160	0.064100
1170	0.056200
1180	0.053300
1190	0.082900
1200	0.068100
1210	0.059200
1220	0.080200
1230	0.060200
1240	0.071600
1250	0.046300
1260	0.046300
1270	0.069700
1280	0.049400
1290	0.067600
1300	0.063100
1310	0.066300
1320	0.061200
1330	0.055300
1340	0.064700
1350	0.055200
1360	0.072100
1370	0.068500
1380	0.062100
1390	0.062800
1400	0.069700
1410	0.053900
1420	0.080300
1430	0.055800
1440	0.048600
1450	0.064200
1460	0.060900
1470	0.067500
1480	0.063600
1490	0.064300
1500	0.075400
1510	0.072000
1520	0.051400
1530	0.061500
1540	0.051000
1550	0.072400
1560	0.059300
1570	0.065900
1580	0.056900
1590	0.049900
1600	0.081800
1610	0.047700
1620	0.053100
1630	0.048800
1640	0.068000
1650	0.045900
1660	0.063200
1670	0.061200
1680	0.069300
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_no_few_shots_3_epochs_7b/adapter
