trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827
Training examples: 6000 (1 mode(s) x 6000 samples)
No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
 [750/750 32:51, Epoch 1/1]
Step	Training Loss
10	0.590300
20	0.466800
30	0.392700
40	0.427700
50	0.426800
60	0.497800
70	0.459900
80	0.452600
90	0.394200
100	0.468500
110	0.419800
120	0.449400
130	0.392000
140	0.402200
150	0.372300
160	0.389400
170	0.351300
180	0.419500
190	0.380400
200	0.447000
210	0.438900
220	0.406000
230	0.330000
240	0.345500
250	0.351000
260	0.424500
270	0.349100
280	0.379200
290	0.360500
300	0.301400
310	0.410200
320	0.404700
330	0.342400
340	0.440000
350	0.379600
360	0.354600
370	0.352500
380	0.362700
390	0.352200
400	0.376500
410	0.369500
420	0.417800
430	0.352500
440	0.382400
450	0.402900
460	0.403000
470	0.298600
480	0.372100
490	0.382600
500	0.316500
510	0.368700
520	0.345500
530	0.424200
540	0.316500
550	0.352900
560	0.349700
570	0.389500
580	0.290300
590	0.336900
600	0.367000
610	0.319900
620	0.356300
630	0.388500
640	0.330900
650	0.286700
660	0.342600
670	0.369500
680	0.330700
690	0.320000
700	0.368800
710	0.355200
720	0.304000
730	0.319200
740	0.373400
750	0.358000
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora/adapter
