trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827
Training examples: 6000 (1 mode(s) x 6000 samples)
No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
 [750/750 33:28, Epoch 1/1]
Step	Training Loss
10	0.629500
20	0.484800
30	0.404000
40	0.439600
50	0.430300
60	0.507500
70	0.469400
80	0.460500
90	0.399800
100	0.471500
110	0.424600
120	0.454100
130	0.393500
140	0.400200
150	0.377800
160	0.388500
170	0.357800
180	0.417700
190	0.384300
200	0.452200
210	0.442800
220	0.414500
230	0.338600
240	0.347000
250	0.350400
260	0.425600
270	0.354200
280	0.381500
290	0.360600
300	0.306100
310	0.413200
320	0.403400
330	0.351900
340	0.436200
350	0.391100
360	0.360200
370	0.357500
380	0.367500
390	0.357700
400	0.380300
410	0.369400
420	0.426300
430	0.353500
440	0.390600
450	0.408900
460	0.407500
470	0.303600
480	0.370200
490	0.378800
500	0.327700
510	0.374000
520	0.347600
530	0.429600
540	0.317500
550	0.355100
560	0.348700
570	0.395300
580	0.291200
590	0.343000
600	0.364100
610	0.321600
620	0.358600
630	0.389500
640	0.327900
650	0.288600
660	0.356100
670	0.367600
680	0.334800
690	0.326300
700	0.386100
710	0.353900
720	0.305000
730	0.323400
740	0.378500
750	0.362500
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_no_few_shots_3b/adapter
