No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827
Training examples: 6000 (1 mode(s) x 6000 samples)
 [1500/1500 1:07:37, Epoch 2/2]
Step	Training Loss
10	0.627100
20	0.485200
30	0.402600
40	0.440300
50	0.430300
60	0.509600
70	0.468800
80	0.460000
90	0.398500
100	0.472000
110	0.423100
120	0.454100
130	0.393600
140	0.399100
150	0.379400
160	0.388300
170	0.359800
180	0.416100
190	0.386200
200	0.453900
210	0.442200
220	0.415400
230	0.334500
240	0.346600
250	0.354000
260	0.426000
270	0.359000
280	0.380300
290	0.361100
300	0.305500
310	0.412100
320	0.404200
330	0.350600
340	0.439100
350	0.393000
360	0.360900
370	0.354200
380	0.366000
390	0.361100
400	0.384700
410	0.366900
420	0.428100
430	0.350700
440	0.389600
450	0.410900
460	0.410700
470	0.299400
480	0.371000
490	0.383400
500	0.333100
510	0.371500
520	0.349300
530	0.427500
540	0.314400
550	0.349300
560	0.345200
570	0.393400
580	0.293200
590	0.343500
600	0.362100
610	0.320200
620	0.358800
630	0.388000
640	0.325900
650	0.291200
660	0.350900
670	0.362700
680	0.330800
690	0.324900
700	0.373300
710	0.345700
720	0.298000
730	0.316700
740	0.380200
750	0.348600
760	0.229700
770	0.221600
780	0.209800
790	0.219500
800	0.223700
810	0.252800
820	0.258400
830	0.222300
840	0.219700
850	0.189600
860	0.215900
870	0.217800
880	0.207900
890	0.217900
900	0.217500
910	0.218400
920	0.230500
930	0.226100
940	0.214500
950	0.223500
960	0.209800
970	0.202600
980	0.251600
990	0.241900
1000	0.230400
1010	0.197500
1020	0.214200
1030	0.227800
1040	0.222200
1050	0.225900
1060	0.238100
1070	0.203500
1080	0.213200
1090	0.225500
1100	0.216500
1110	0.232600
1120	0.200100
1130	0.243300
1140	0.181400
1150	0.180300
1160	0.209700
1170	0.185400
1180	0.233600
1190	0.189300
1200	0.257400
1210	0.205000
1220	0.189500
1230	0.230900
1240	0.215400
1250	0.230800
1260	0.219500
1270	0.209900
1280	0.169300
1290	0.171300
1300	0.189500
1310	0.195400
1320	0.205900
1330	0.241100
1340	0.193900
1350	0.226900
1360	0.232900
1370	0.213400
1380	0.186200
1390	0.181500
1400	0.180200
1410	0.162900
1420	0.184100
1430	0.205300
1440	0.202500
1450	0.228900
1460	0.199700
1470	0.207000
1480	0.196500
1490	0.249500
1500	0.168100
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora/adapter
