trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827
Training examples: 6000 (1 mode(s) x 6000 samples)
No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
 [2250/2250 1:40:22, Epoch 3/3]
Step	Training Loss
10	0.628300
20	0.484100
30	0.403300
40	0.439600
50	0.430600
60	0.507500
70	0.470600
80	0.460300
90	0.399800
100	0.472400
110	0.423800
120	0.452800
130	0.392200
140	0.399100
150	0.377000
160	0.388200
170	0.359500
180	0.415000
190	0.388100
200	0.453800
210	0.445500
220	0.415800
230	0.337400
240	0.345600
250	0.353400
260	0.428400
270	0.361900
280	0.380300
290	0.365700
300	0.305600
310	0.413100
320	0.404300
330	0.351600
340	0.437000
350	0.394300
360	0.361400
370	0.356500
380	0.366500
390	0.360800
400	0.385500
410	0.369600
420	0.427100
430	0.351300
440	0.388300
450	0.415400
460	0.408700
470	0.299300
480	0.368800
490	0.389100
500	0.334000
510	0.368300
520	0.347800
530	0.433000
540	0.313300
550	0.350100
560	0.348500
570	0.390200
580	0.291800
590	0.344300
600	0.363900
610	0.320500
620	0.359800
630	0.384600
640	0.331400
650	0.291300
660	0.348500
670	0.362200
680	0.331500
690	0.324900
700	0.373300
710	0.350500
720	0.298600
730	0.316000
740	0.384100
750	0.351800
760	0.225200
770	0.218800
780	0.207100
790	0.216500
800	0.224200
810	0.248200
820	0.256200
830	0.221800
840	0.216900
850	0.187900
860	0.213200
870	0.211800
880	0.209300
890	0.214700
900	0.216900
910	0.216500
920	0.230100
930	0.227100
940	0.208600
950	0.221400
960	0.209600
970	0.205900
980	0.253200
990	0.247800
1000	0.230300
1010	0.201900
1020	0.214600
1030	0.231300
1040	0.224100
1050	0.223000
1060	0.231900
1070	0.199200
1080	0.215100
1090	0.225700
1100	0.220000
1110	0.239100
1120	0.199000
1130	0.247700
1140	0.185300
1150	0.186800
1160	0.209500
1170	0.186400
1180	0.237700
1190	0.194700
1200	0.265100
1210	0.209000
1220	0.190500
1230	0.228600
1240	0.228600
1250	0.229300
1260	0.225200
1270	0.210900
1280	0.174200
1290	0.174000
1300	0.193100
1310	0.203900
1320	0.209300
1330	0.240600
1340	0.197000
1350	0.228200
1360	0.241700
1370	0.215800
1380	0.187000
1390	0.184000
1400	0.179400
1410	0.167800
1420	0.183900
1430	0.208500
1440	0.207800
1450	0.229600
1460	0.199900
1470	0.212800
1480	0.205200
1490	0.250600
1500	0.167500
1510	0.123500
1520	0.130800
1530	0.093300
1540	0.110100
1550	0.113000
1560	0.107000
1570	0.128500
1580	0.101200
1590	0.112900
1600	0.119100
1610	0.128500
1620	0.099300
1630	0.084100
1640	0.109500
1650	0.087100
1660	0.113500
1670	0.079900
1680	0.099800
1690	0.111600
1700	0.088600
1710	0.109700
1720	0.098000
1730	0.101000
1740	0.083700
1750	0.095900
1760	0.080600
1770	0.093300
1780	0.125300
1790	0.095100
1800	0.108800
1810	0.126600
1820	0.112400
1830	0.120100
1840	0.087300
1850	0.112000
1860	0.077600
1870	0.100200
1880	0.074000
1890	0.092800
1900	0.118400
1910	0.118600
1920	0.080300
1930	0.099800
1940	0.107000
1950	0.090600
1960	0.117900
1970	0.117800
1980	0.082300
1990	0.111500
2000	0.088500
2010	0.075200
2020	0.113200
2030	0.083000
2040	0.107300
2050	0.112400
2060	0.106700
2070	0.089300
2080	0.103200
2090	0.101600
2100	0.091800
2110	0.089500
2120	0.107100
2130	0.099300
2140	0.090400
2150	0.111800
2160	0.098200
2170	0.087200
2180	0.102100
2190	0.102200
2200	0.096400
2210	0.079100
2220	0.135500
2230	0.118800
2240	0.100900
2250	0.101600
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_no_few_shots_three_epochs_3b/adapter
