No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827
Training examples: 4492 (1 mode(s) x 4492 samples)
 [1122/1122 50:20, Epoch 1/2]
Step	Training Loss
10	0.636900
20	0.493600
30	0.519300
40	0.437200
50	0.450000
60	0.375900
70	0.404600
80	0.400600
90	0.436300
100	0.404000
110	0.411500
120	0.469400
130	0.408500
140	0.355400
150	0.427900
160	0.374200
170	0.406100
180	0.393400
190	0.419200
200	0.386300
210	0.457900
220	0.398200
230	0.408400
240	0.444700
250	0.388300
260	0.410800
270	0.387400
280	0.345500
290	0.327800
300	0.347700
310	0.395300
320	0.386800
330	0.366200
340	0.368000
350	0.385800
360	0.384600
370	0.344500
380	0.405000
390	0.386400
400	0.359800
410	0.342800
420	0.318400
430	0.367900
440	0.356300
450	0.366600
460	0.355300
470	0.241900
480	0.365700
490	0.328100
500	0.344600
510	0.347800
520	0.343200
530	0.360000
540	0.373100
550	0.354000
560	0.336100
570	0.239300
580	0.224500
590	0.261400
600	0.249900
610	0.260400
620	0.203300
630	0.235600
640	0.205200
650	0.217100
660	0.215700
670	0.223800
680	0.190700
690	0.221400
700	0.202100
710	0.213400
720	0.234900
730	0.233800
740	0.216500
750	0.231700
760	0.213700
770	0.193500
780	0.292000
790	0.226700
800	0.199800
810	0.233600
820	0.245900
830	0.208000
840	0.264200
850	0.195000
860	0.230900
870	0.231700
880	0.240800
890	0.248300
900	0.185300
910	0.181500
920	0.246300
930	0.211900
940	0.236100
950	0.225900
960	0.222700
970	0.228300
980	0.210300
990	0.249600
1000	0.199100
1010	0.216300
1020	0.187200
1030	0.189700
1040	0.201300
1050	0.193500
1060	0.202900
1070	0.219600
1080	0.205700
1090	0.195900
1100	0.200400
1110	0.204600
1120	0.227800
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_no_few_shots_2_epochs_3b/adapter
