No label_names provided for model class `PeftModelForCausalLM`. Since `PeftModel` hides base models input arguments, if label_names is not given, label_names can't be set automatically within `Trainer`. Note that empty label_names list will be used instead.
trainable params: 20,185,088 || all params: 7,635,801,600 || trainable%: 0.2643
Training examples: 4492 (1 mode(s) x 4492 samples)
 [561/561 26:27, Epoch 0/1]
Step	Training Loss
10	0.523700
20	0.404100
30	0.440400
40	0.382000
50	0.369200
60	0.319000
70	0.326500
80	0.333300
90	0.362800
100	0.322000
110	0.338600
120	0.413400
130	0.356000
140	0.308400
150	0.359300
160	0.313500
170	0.343700
180	0.352300
190	0.352900
200	0.326800
210	0.384800
220	0.332100
230	0.349000
240	0.368400
250	0.323700
260	0.361700
270	0.328900
280	0.297500
290	0.269600
300	0.301600
310	0.323900
320	0.327900
330	0.327700
340	0.325200
350	0.322100
360	0.337000
370	0.307600
380	0.352700
390	0.333400
400	0.309600
410	0.305600
420	0.278100
430	0.296900
440	0.309400
450	0.319700
460	0.309000
470	0.206600
480	0.319100
490	0.272200
500	0.300700
510	0.300200
520	0.295300
530	0.326000
540	0.334000
550	0.322300
560	0.286900
config.json: 100%
 663/663 [00:00<00:00, 114kB/s]
LoRA adapter saved to: /dss/dsshome1/0E/go35bit2/Finetuning experiment/results/qwen_lora_7b/adapter
